0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:52 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:53 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:53 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:53 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:53 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:24 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:25 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:25 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:25 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:26 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:26 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:33 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:34 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:33:34 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
